15317546	20230301	150
18501179	20240422	399
17111563	20230124	87
19254301	20211225	1674
13501324	20221111	10
11254730	20240713	85
10000001	19961001	239
17111563	20230102	215
19254301	20211225	1000
19254301	20240618	33
13501324	20221111	81000
11254730	20240713	130
12345678	30000101	999
18501179	20240229	229
17111563	20231002	1000000
10000001	19980228	1
11254730	20240714	1399
17111563	20230102	123
19254301	20241225	889
13501324	20221121	50
18501179	20240422	3000
17111563	20230123	449
19254301	20210925	4999
12345678	20121212	1212
19254301	20221105	10000
18501179	20241120	357
17111563	20230101	20
18501179	20211223	180
10000001	20000123	1024
19254301	20221101	157
18501179	20240422	36
17111563	20230130	999
10000001	20040229	4000
19254301	20211201	1001
17111563	20231102	102
12345678	11111111	1111111111
19254301	20221114	166
18501179	20240421	128000000
18501179	20221231	4096
19254301	20221121	800
18501179	20240404	650
17111563	20230104	875
19254301	20211125	383
13501324	20221101	49
10000001	19980229	22000
17111563	20230124	125
19254301	20240928	1500
13501324	20221003	830000
11254730	20240712	27
19254301	20240303	3650
